Epoch,Time (seconds),Loss,Accuracy
1,133.799,0.23906,92.8817
2,134.638,0.10573,96.8467
3,134.115,0.0758669,97.72
4,134.976,0.0591999,98.155
5,140.786,0.0514901,98.37
6,136.509,0.0450114,98.5933
7,135.753,0.0366524,98.835
8,141.758,0.0344675,98.8733
9,135.623,0.0365008,98.8717
10,136.061,0.0328589,98.9467
