Epoch,Time (seconds),Loss,Accuracy
1,125.435,0.544707,80.5867
2,123.545,0.339968,87.17
3,123.84,0.309894,87.9167
4,123.435,0.29318,88.3233
5,123.589,0.284799,88.4683
6,123.691,0.277566,88.6917
7,123.554,0.273703,88.7683
8,123.364,0.267443,88.8933
9,123.53,0.271076,88.8367
10,123.451,0.262306,89.0217
