Epoch,Time (seconds),Loss,Accuracy
1,126.621,0.241811,92.7817
2,127.058,0.103366,96.8867
3,126.484,0.0731776,97.7683
4,127.908,0.0596128,98.12
5,127.286,0.0490079,98.4333
6,126.958,0.0428783,98.625
7,126.707,0.0368575,98.7983
8,126.756,0.0369104,98.7983
9,128.957,0.0357433,98.8717
10,128.222,0.029376,99.065
