Epoch,Time (seconds),Loss,Accuracy
1,19.2151,2.29169,13.4167
2,20.0822,2.29712,12.4917
3,21.0051,2.29372,13.0167
4,21.0098,2.29863,12.06
5,21.0203,2.29866,12.0733
6,21.059,2.29825,11.9533
7,21.0532,2.29897,11.85
8,21.199,2.29897,11.7583
9,21.2273,2.30136,10.585
10,21.1756,2.30169,10.505
